0;Apache;741055
1;ADDENDUM;3018026
2;Apache;725063
3;ADDENDUM;3064910
4;Apache;1645169
5;ADDENDUM;3707322
6;Apache;747221
7;ADDENDUM;1535059
8;Apache;735419
9;ADDENDUM;1524884
10;Apache;772466
11;ADDENDUM;1629979
12;Apache;754707
13;ADDENDUM;1476565
14;Apache;742070
15;ADDENDUM;1426548
16;Apache;759896
17;ADDENDUM;1519998
18;Apache;801969
19;ADDENDUM;1439069
20;Apache;745993
21;ADDENDUM;1501794
22;Apache;776399
23;ADDENDUM;1490360
24;Apache;750668
25;ADDENDUM;1472817
26;Apache;763215
27;ADDENDUM;1440835
28;Apache;749401
29;ADDENDUM;1499943
30;Apache;743625
31;ADDENDUM;1450548
32;Apache;743550
33;ADDENDUM;1456624
34;Apache;735224
35;ADDENDUM;1471785
36;Apache;749012
37;ADDENDUM;3037947
38;Apache;741262
39;ADDENDUM;1447712
40;Apache;764447
41;ADDENDUM;1472807
42;Apache;727670
43;ADDENDUM;1475457
44;Apache;742259
45;ADDENDUM;1856675
46;Apache;2132263
47;ADDENDUM;2594431
48;Apache;738430
49;ADDENDUM;1542820
50;Apache;758754
51;ADDENDUM;1542395
52;Apache;733296
53;ADDENDUM;1512673
54;Apache;773010
55;ADDENDUM;1475690
56;Apache;748763
57;ADDENDUM;1436466
58;Apache;748244
59;ADDENDUM;1470801
60;Apache;761820
61;ADDENDUM;1449704
62;Apache;747848
63;ADDENDUM;1438465
64;Apache;744411
65;ADDENDUM;1486492
66;Apache;744335
67;ADDENDUM;1447736
68;Apache;738861
69;ADDENDUM;1437559
70;Apache;741208
71;ADDENDUM;1490668
72;Apache;735840
73;ADDENDUM;1424708
74;Apache;731506
75;ADDENDUM;1433012
76;Apache;735025
77;ADDENDUM;1478260
78;Apache;754640
79;ADDENDUM;1441859
80;Apache;774262
81;ADDENDUM;1464178
82;Apache;1515081
83;ADDENDUM;3286385
84;Apache;747826
85;ADDENDUM;1435265
86;Apache;781326
87;ADDENDUM;1503336
88;Apache;758388
89;ADDENDUM;3318730
90;Apache;727165
91;ADDENDUM;1527139
92;Apache;730994
93;ADDENDUM;1459244
94;Apache;766733
95;ADDENDUM;1439972
96;Apache;741610
97;ADDENDUM;1425842
98;Apache;758877
99;ADDENDUM;1531660
